bstart,bend,receptor,protein,site,library,experiment,pdb
45254,45488,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,EN,42,4I7G
45489,45723,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,EN,42,4I7G
45724,45755,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,NF,43,4I7G
45756,45787,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,NF,43,4I7G
45788,45889,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,CB,44,4I7G
45890,45991,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,CB,44,4I7G
45992,46042,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,AS,45,4I7G
46043,46093,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,AS,45,4I7G
46094,46244,x4I7G_RT_NNRTIadj_wNNRTI.pdbqt,RT,NNRTIadj,VM,46,4I7G
46245,46395,x4I7G_RT_NNRTIadj.pdbqt,RT,NNRTIadj,VM,46,4I7G
46396,46427,x3AO1_IN_FBP.pdbqt,IN,FBP,NF,47,3AO1
46428,46459,x3AO2_IN_FBP.pdbqt,IN,FBP,NF,47,3AO2
46460,46491,x3NF8_B_IN_FBP.pdbqt,IN,FBP,NF,47,3NF8
46492,46523,x3VQ4_IN_FBP.pdbqt,IN,FBP,NF,47,3VQ4
46524,46555,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,NF,47,3VQ5
46556,46587,x3VQ7_IN_FBP.pdbqt,IN,FBP,NF,47,3VQ7
46588,46619,x3VQA_IN_FBP.pdbqt,IN,FBP,NF,47,3VQA
46620,46651,x3VQD_IN_FBP.pdbqt,IN,FBP,NF,47,3VQD
46652,46683,x3VQE_A_IN_FBP.pdbqt,IN,FBP,NF,47,3VQE
46684,46715,x4AHR_A_IN_FBP.pdbqt,IN,FBP,NF,47,4AHR
46716,46747,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3NF6
46748,46779,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3NF8
46780,46811,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3VQ8
46812,46843,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZCM
46844,46875,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZSO
46876,46907,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZSW
46908,46939,x3ZT1_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT1
46940,46971,x3ZT2_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT2
46972,47003,x3ZT3_A_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT3
47004,47035,x3ZT4_B_IN_LEDGF.pdbqt,IN,LEDGF,NF,47,3ZT4
47036,47067,x3NF6_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF6
47068,47099,x3NF6_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF6
47100,47131,x3NF7_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF7
47132,47163,x3NF7_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF7
47164,47195,x3NF8_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF8
47196,47227,x3NF8_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF8
47228,47259,x3NF9_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NF9
47260,47291,x3NF9_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NF9
47292,47323,x3NFA_A_IN_Y3.pdbqt,IN,Y3,NF,47,3NFA
47324,47355,x3NFA_B_IN_Y3.pdbqt,IN,Y3,NF,47,3NFA
47356,47590,x3AO1_IN_FBP.pdbqt,IN,FBP,EN,48,3AO1
47591,47825,x3AO2_IN_FBP.pdbqt,IN,FBP,EN,48,3AO2
47826,48060,x3NF8_B_IN_FBP.pdbqt,IN,FBP,EN,48,3NF8
48061,48295,x3VQ4_IN_FBP.pdbqt,IN,FBP,EN,48,3VQ4
48296,48530,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,EN,48,3VQ5
48531,48765,x3VQ7_IN_FBP.pdbqt,IN,FBP,EN,48,3VQ7
48766,49000,x3VQA_IN_FBP.pdbqt,IN,FBP,EN,48,3VQA
49001,49235,x3VQD_IN_FBP.pdbqt,IN,FBP,EN,48,3VQD
49236,49470,x3VQE_A_IN_FBP.pdbqt,IN,FBP,EN,48,3VQE
49471,49705,x4AHR_A_IN_FBP.pdbqt,IN,FBP,EN,48,4AHR
49706,49940,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3NF6
49941,50175,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3NF8
50176,50410,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3VQ8
50411,50645,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZCM
50646,50880,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZSO
50881,51115,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZSW
51116,51350,x3ZT1_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT1
51351,51585,x3ZT2_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT2
51586,51820,x3ZT3_A_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT3
51821,52055,x3ZT4_B_IN_LEDGF.pdbqt,IN,LEDGF,EN,48,3ZT4
52056,52290,x3NF6_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF6
52291,52525,x3NF6_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF6
52526,52760,x3NF7_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF7
52761,52995,x3NF7_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF7
52996,53230,x3NF8_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF8
53231,53465,x3NF8_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF8
53466,53700,x3NF9_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NF9
53701,53935,x3NF9_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NF9
53936,54170,x3NFA_A_IN_Y3.pdbqt,IN,Y3,EN,48,3NFA
54171,54405,x3NFA_B_IN_Y3.pdbqt,IN,Y3,EN,48,3NFA
54406,54507,x3AO1_IN_FBP.pdbqt,IN,FBP,CB,49,3AO1
54508,54609,x3AO2_IN_FBP.pdbqt,IN,FBP,CB,49,3AO2
54610,54711,x3NF8_B_IN_FBP.pdbqt,IN,FBP,CB,49,3NF8
54712,54813,x3VQ4_IN_FBP.pdbqt,IN,FBP,CB,49,3VQ4
54814,54915,x3VQ5_A_IN_FBP.pdbqt,IN,FBP,CB,49,3VQ5
54916,55017,x3VQ7_IN_FBP.pdbqt,IN,FBP,CB,49,3VQ7
55018,55119,x3VQA_IN_FBP.pdbqt,IN,FBP,CB,49,3VQA
55120,55221,x3VQD_IN_FBP.pdbqt,IN,FBP,CB,49,3VQD
55222,55323,x3VQE_A_IN_FBP.pdbqt,IN,FBP,CB,49,3VQE
55324,55425,x4AHR_A_IN_FBP.pdbqt,IN,FBP,CB,49,4AHR
55426,55527,x3NF6_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3NF6
55528,55629,x3NF8_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3NF8
55630,55731,x3VQ8_B_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3VQ8
55732,55833,x3ZCM_A_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZCM
55834,55935,x3ZSO_B_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZSO
55936,56037,x3ZSW_B_IN_LEDGF.pdbqt,IN,LEDGF,CB,49,3ZSW
